farm;lat;lon;fw;Nf;Ns
879;43.018000;9.3500000;1015.93;36484.5;68981.2
880;43.588000;-7.2300000;1015.83;36481.2;80161.9
881;43.508000;-5.2200000;1015.75;36478.3;76787.2
882;37.138000;9.0000000;1015.51;36469.6;59151.6
883;36.688000;14.760000;1014.99;36450.7;67030.9
884;39.718000;2.5600000;1014.95;36449.4;48279.5
885;39.788000;2.6600000;1014.74;36441.9;52902.9
886;47.058000;-2.3400000;1014.66;36439.0;80295.4
887;41.798000;19.380000;1014.12;36419.5;80130.6
888;44.678000;-1.3100000;1014.00;36415.3;80006.3
889;36.928000;7.1000000;1012.56;36363.6;53320.8
890;42.818000;3.0900000;1012.49;36361.2;76153.9
891;43.398000;-8.2300000;1012.29;36353.9;36189.2
892;36.988000;8.7400000;1012.07;36345.9;41230.3
893;43.308000;5.3600000;1011.89;36339.4;63854.8
894;41.708000;2.9000000;1011.62;36329.8;74250.2
895;31.508000;32.190000;1011.42;36322.5;80490.4
896;41.578000;2.5500000;1011.18;36314.2;65387.7
897;37.038000;7.5300000;1010.73;36297.7;66241.3
898;31.608000;31.770000;1010.41;36286.4;79944.2
899;36.898000;10.390000;1009.65;36259.0;75167.2
900;36.658000;5.3800000;1008.95;36234.0;66528.4
901;41.838000;12.140000;1007.99;36199.6;79031.6
902;45.098000;-1.2400000;1007.54;36183.4;79884.3
903;37.288000;10.070000;1007.27;36173.6;42074.4
904;38.898000;16.820000;1006.97;36162.8;29455.5
905;43.538000;3.9600000;1006.21;36135.5;80206.4
906;37.508000;12.980000;1005.11;36096.0;60601.7
907;39.238000;17.150000;1004.86;36086.9;24444.2
908;36.858000;6.0300000;1004.30;36066.9;57662.2
909;40.768000;23.900000;1003.96;36054.5;73089.0
910;39.438000;17.100000;1003.57;36040.6;32463.2
911;43.358000;3.7300000;1003.33;36032.3;73952.2
912;39.268000;-0.25000000;1003.19;36027.0;40883.5
913;44.968000;-1.2600000;1002.70;36009.4;79491.5
914;36.948000;6.8600000;1002.05;35986.0;65089.4
915;46.078000;-1.4100000;1002.01;35984.5;79060.7
916;37.298000;9.8800000;1001.24;35957.2;43652.5
917;47.038000;-2.5300000;1000.87;35943.8;79034.7
918;44.248000;-1.3300000;1000.68;35937.0;78345.2
919;45.738000;-1.2800000;999.785;35904.8;79352.0
920;37.028000;6.5800000;999.507;35894.8;67648.1
921;37.278000;13.450000;999.403;35891.0;55768.4
922;39.628000;16.680000;999.181;35883.1;59855.8
923;36.268000;34.050000;998.674;35864.9;79039.2
924;43.038000;6.4900000;998.197;35847.7;72994.3
925;36.558000;35.440000;997.021;35805.5;78716.9
926;43.308000;3.6100000;996.931;35802.3;70455.8
927;43.388000;3.7900000;996.699;35793.9;75334.6
