farm;lat;lon;fw;Nf;Ns
138;51.008000;1.9200000;5965.60;17896.8;13664.1
139;50.358000;1.4000000;5964.86;17894.6;10576.3
140;51.288000;1.5900000;5953.47;17860.4;13476.4
141;49.908000;0.63000000;5953.43;17860.3;13975.2
142;50.178000;1.4100000;5951.21;17853.6;13992.4
143;50.898000;1.6200000;5949.47;17848.4;12829.2
144;50.298000;1.3500000;5943.67;17831.0;10771.0
145;51.038000;2.0400000;5943.55;17830.6;13420.3
146;45.608000;-1.0100000;5942.73;17828.2;14198.1
147;51.578000;0.90000000;5938.49;17815.5;11685.5
148;50.928000;0.77000000;5938.01;17814.0;6099.70
149;47.048000;-2.4000000;5937.51;17812.5;14116.3
150;49.468000;-0.080000000;5934.24;17802.7;13965.7
151;50.018000;1.0400000;5932.58;17797.7;13629.1
152;51.398000;1.2500000;5930.68;17792.1;14047.5
153;49.878000;0.57000000;5927.20;17781.6;13908.4
154;47.408000;-2.6500000;5927.19;17781.6;14059.6
155;49.778000;0.23000000;5923.45;17770.4;13758.7
156;51.278000;2.7500000;5920.85;17762.6;13954.7
157;51.468000;-9.3900000;5916.93;17750.8;13610.5
158;50.098000;1.3100000;5913.83;17741.5;13871.1
159;49.348000;-0.010000000;5913.32;17740.0;14027.6
160;51.978000;-7.6300000;5909.98;17730.0;13581.3
161;51.278000;-3.1800000;5897.13;17691.4;13912.5
162;51.568000;-8.7200000;5893.46;17680.4;13509.3
163;51.288000;2.8700000;5889.75;17669.2;13894.3
164;50.708000;-0.78000000;5883.41;17650.2;7967.51
165;51.218000;2.7300000;5882.76;17648.3;13875.9
166;52.078000;-7.5500000;5876.36;17629.1;13420.2
167;51.638000;-8.5000000;5867.21;17601.6;13575.7
168;51.068000;1.9800000;5862.60;17587.8;13347.0
169;50.958000;0.98000000;5862.35;17587.0;11313.5
170;51.458000;1.4300000;5862.09;17586.3;9053.77
171;50.298000;1.4200000;5858.25;17574.8;13524.9
172;50.808000;-0.42000000;5852.77;17558.3;9673.40
173;51.528000;0.73000000;5850.56;17551.7;13756.1
174;51.418000;1.5600000;5850.10;17550.3;8981.22
175;50.178000;1.3500000;5849.80;17549.4;13568.8
176;51.408000;-3.6000000;5849.69;17549.1;13803.1
177;51.458000;0.75000000;5845.72;17537.2;13757.8
178;49.958000;0.72000000;5843.00;17529.0;13713.3
179;51.478000;-9.2100000;5842.66;17528.0;13496.3
180;51.368000;0.86000000;5839.04;17517.1;8770.29
181;49.818000;0.36000000;5838.62;17515.9;13438.5
182;51.618000;0.96000000;5832.62;17497.9;11059.9
183;51.528000;1.1500000;5825.40;17476.2;5541.95
184;50.138000;-5.7000000;5820.69;17462.1;12222.5
185;50.688000;1.5600000;5818.06;17454.2;13632.5
186;50.898000;1.5600000;5814.07;17442.2;13478.0
187;51.298000;1.5300000;5811.91;17435.7;13038.2
188;50.118000;1.3700000;5810.60;17431.8;13622.6
189;49.758000;0.29000000;5808.06;17424.2;13511.2
190;51.478000;-9.3300000;5806.36;17419.1;13315.7
191;51.118000;2.2600000;5804.55;17413.7;13633.0
192;52.458000;-9.8100000;5783.14;17349.4;13388.1
193;45.378000;-0.82000000;5781.79;17345.4;13844.6
194;49.778000;0.17000000;5780.92;17342.8;13551.9
195;51.648000;3.6200000;5778.24;17334.7;13612.4
196;50.808000;0.35000000;5774.51;17323.5;10789.7
197;49.968000;0.66000000;5773.41;17320.2;13518.2
198;49.418000;-0.010000000;5770.93;17312.8;13621.4
199;51.588000;-8.7900000;5768.05;17304.1;12798.9
200;50.788000;-0.63000000;5764.70;17294.1;11211.8
201;47.508000;-2.8900000;5764.52;17293.5;13720.6
202;51.028000;1.8600000;5761.26;17283.8;13132.7
203;51.748000;-8.2200000;5755.90;17267.7;13261.6
204;50.358000;1.3400000;5747.92;17243.8;6942.84
205;49.848000;0.51000000;5747.83;17243.5;13476.1
206;45.548000;-0.99000000;5745.59;17236.8;13737.0
207;47.448000;-2.7100000;5741.88;17225.6;13624.0
208;50.238000;1.3100000;5740.23;17220.7;11032.8
209;50.738000;1.5000000;5735.83;17207.5;12907.7
210;51.658000;3.5000000;5735.29;17205.9;13495.5
211;50.408000;1.4800000;5732.61;17197.8;13071.8
212;51.368000;-3.7700000;5732.24;17196.7;13503.8
213;49.928000;1.0200000;5732.03;17196.1;13347.4
214;49.988000;0.98000000;5728.50;17185.5;13277.5
215;51.588000;-10.050000;5727.71;17183.1;12964.7
216;49.368000;-0.54000000;5722.61;17167.8;13590.3
217;51.498000;-9.2700000;5720.18;17160.5;13006.8
218;51.738000;-8.2900000;5717.66;17153.0;13272.6
219;51.678000;-8.4200000;5713.39;17140.2;13164.2
220;51.478000;-9.4600000;5712.67;17138.0;12670.4
221;50.808000;-0.36000000;5712.43;17137.3;9003.60
222;51.398000;-3.6600000;5709.25;17127.8;13454.3
223;49.818000;0.30000000;5707.96;17123.9;12608.0
224;50.078000;1.1700000;5706.42;17119.3;13019.1
225;50.178000;1.2900000;5702.96;17108.9;11920.0
226;51.278000;1.4700000;5701.10;17103.3;12918.8
227;50.728000;0.26000000;5700.21;17100.6;8882.08
228;51.728000;-10.250000;5694.89;17084.7;12381.6
229;51.958000;-7.6900000;5693.92;17081.8;12994.2
230;49.958000;0.84000000;5693.06;17079.2;13239.8
231;51.208000;-3.1600000;5693.04;17079.1;13243.4
232;51.368000;2.8900000;5692.88;17078.7;13402.8
233;51.458000;-9.7700000;5691.10;17073.3;12840.7
234;51.208000;2.6700000;5691.00;17073.0;13421.9
235;51.388000;1.0300000;5690.77;17072.3;13084.3
236;49.928000;0.90000000;5690.09;17070.3;13268.1
