"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"72",72,6.99143472163655,150.446298842874,0,0,0,0,0,0,-559314.777730924,559314.777730924,52897784.4,66.1222305,0,0,0,1.25,0.769881376881734,0.632322656575708,0.0730220156217032,160.392104415206,361.856229556028
"73",73,6.98808955630076,146.876607621181,0,0,0,0,0,0,-559047.164504061,559047.164504061,32658094.8,40.8226185,0,0,0,1.25,0.767968442880205,0.403665926485777,0.0465004039510616,160.382497336668,361.740887223873
"74",74,6.98580900612832,147.254643120595,0,0,0,0,0,0,-558864.720490266,558864.720490266,38494248,48.11781,0,0,0,1.25,0.766531105714902,0.689406461569056,0.079267724591029,160.37594314373,361.753363348251
"75",75,7.5045195917053,156.594245579322,0,0,0,0,0,0,-600361.567336424,600361.567336424,97810476,122.263095,0,0,0,1.25,0.760178473042533,0.411839263066943,0.0469607013205786,161.776168186446,362.042707388355
"76",76,8.06418771120395,172.275441639136,0,0,0,0,0,0,-645135.016896316,645135.016896316,43259132.4,54.0739155,0,0,0,1.25,0.754267907663574,0.52651368021108,0.0595698557893589,163.107214989963,362.458768373964
"77",77,8.26557694318259,183.888279283699,0,0,0,0,0,0,-661246.155454607,661246.155454607,34644055.2,43.305069,0,0,0,1.25,0.760274961995336,0.522492464102779,0.0595856907432884,163.546833857094,362.721644763408
"78",78,8.34378988330369,191.471214909879,0,0,0,0,0,0,-667503.190664295,667503.190664295,88974984,111.21873,0,0,0,1.25,0.757373124527473,0.630718213332114,0.0716533535891593,163.712458332609,362.876266458166
"79",79,8.37518969677263,203.31785242148,0,0,0,0,0,0,-670015.17574181,670015.17574181,112740480,140.9256,0,0,0,1.25,0.752127306561536,0.590069632356379,0.0665711224901939,163.778173463187,363.094968810467
"80",80,8.38685126910199,212.855652469486,0,0,0,0,0,0,-670948.101528159,670948.101528159,100280343.6,125.3504295,0,0,0,1.25,0.751152777122139,0.446109220428276,0.0502644269736738,163.802467436182,363.253522423522
"81",81,8.9056513240659,217.394923289401,0,0,0,0,0,0,-712452.105925272,712452.105925272,92930196,116.162745,0,0,0,1.25,0.751152777122139,0.763724609156637,0.0860510791686791,164.825379910026,363.324140220118
