date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;par;ocean_mixed_layer_thickness
2020-11-28;--;--;--;--;--;--;10.4000244140625
2020-11-29;--;--;--;--;--;--;10.4000244140625
2020-11-30;--;--;--;--;--;--;10.2999267578125
2020-12-01;--;--;--;--;--;--;10.2999267578125
2020-12-02;--;--;--;--;--;--;12.0
2020-12-03;--;--;--;--;--;--;22.5
2020-12-04;--;--;--;--;--;--;29.699951171875
2020-12-05;--;--;--;--;--;--;30.5
2020-12-06;--;--;--;--;--;--;11.2999267578125
2020-12-07;--;--;--;--;--;--;10.7999267578125
2020-12-08;--;--;--;--;--;--;10.5
2020-12-09;--;--;--;--;--;--;10.5
2020-12-10;--;--;--;--;--;--;12.9000244140625
2020-12-11;--;--;--;--;--;--;15.699951171875
2020-12-12;--;--;--;--;--;--;21.699951171875
2020-12-13;--;--;--;--;--;--;24.0
2020-12-14;--;--;--;--;--;--;23.699951171875
2020-12-15;--;--;--;--;--;--;21.9000244140625
2020-12-16;--;--;--;--;--;--;18.0999755859375
2020-12-17;--;--;--;--;--;--;14.199951171875
2020-12-18;--;--;--;--;--;--;17.699951171875
2020-12-19;--;--;--;--;--;--;18.5999755859375
2020-12-20;--;--;--;--;--;--;15.199951171875
2020-12-21;--;--;--;--;--;--;10.9000244140625
2020-12-22;--;--;--;--;--;--;11.2999267578125
2020-12-23;--;--;--;--;--;--;17.7999267578125
2020-12-24;--;--;--;--;--;--;12.7999267578125
2020-12-25;--;--;--;--;--;--;10.2999267578125
2020-12-26;--;--;--;--;--;--;21.2999267578125
2020-12-27;--;--;--;--;--;--;40.4000244140625
2020-12-28;--;--;--;--;--;--;40.199951171875
2020-12-29;--;--;--;--;--;--;33.4000244140625
2020-12-30;--;--;--;--;--;--;10.5999755859375
2020-12-31;--;--;--;--;--;--;12.199951171875
2021-01-01;--;--;--;--;--;;12.7999267578125
2021-01-02;--;--;--;--;--;;10.699951171875
2021-01-03;--;--;--;--;--;;10.9000244140625
2021-01-04;--;--;--;--;--;;13.5
2021-01-05;--;--;--;--;--;;14.4000244140625
2021-01-06;--;--;--;--;--;;11.0999755859375
2021-01-07;--;--;--;--;--;;10.4000244140625
2021-01-08;--;--;--;--;--;;10.2999267578125
2021-01-09;--;--;--;--;--;;10.2999267578125
2021-01-10;--;--;--;--;--;;10.2999267578125
2021-01-11;--;--;--;--;--;;12.0999755859375
2021-01-12;--;--;--;--;--;;14.5
2021-01-13;--;--;--;--;--;;17.5999755859375
2021-01-14;--;--;--;--;--;;11.5999755859375
2021-01-15;--;--;--;--;--;;17.4000244140625
2021-01-16;--;--;--;--;--;;12.5
