date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;ocean_mixed_layer_thickness;par;current_intensity
2020-05-29 12:00:00;5.6;58.799744;11.355;1036.8;-5356.8003;17.299927;0.7113838;5456.2134
2020-05-30 12:00:00;5.6;46.19983;11.573;1555.2001;-3715.2002;14.699951;0.7159789;4027.5747
2020-05-31 12:00:00;2.8;46.19983;11.988;1123.2001;-2419.2002;11.599976;0.69449323;2667.2285
2020-06-01 12:00:00;2.8;75.599915;12.291;-1036.8;-604.80005;10.400024;0.7177853;1200.3073
2020-06-02 12:00:00;4.2000003;113.400085;12.928;-691.2;432.00003;10.400024;0.68898696;815.096
2020-06-03 12:00:00;4.2000003;127.400085;13.432;-2764.8;-7171.2;10.400024;0.2764619;7685.7163
2020-06-04 12:00:00;5.6;81.19983;12.759;-5097.6006;-691.2;10.400024;0.5699452;5144.248
2020-06-05 12:00:00;8.400001;53.19983;12.274;-1641.6001;-1814.4001;11.0;0.5353914;2446.814
2020-06-06 12:00:00;9.8;47.599915;11.999001;-1987.2002;-4147.2;14.5;0.47136843;4598.7207
2020-06-07 12:00:00;11.2;50.400085;12.008;-1036.8;-7257.6006;11.599976;0.23859534;7331.2837
2020-06-08 12:00:00;9.8;68.599915;12.295;-2246.4001;-5529.6;10.699951;0.46976826;5968.4834
2020-06-09 12:00:00;8.400001;93.79974;12.487;-1209.6001;-1814.4001;10.400024;0.311436;2180.6377
2020-06-10 12:00:00;7.0;88.19983;12.627;-3888.0002;-4665.6;10.400024;0.59758335;6073.25
2020-06-11 12:00:00;7.0;67.19983;12.296;-1900.8002;-10108.801;10.5;0.19420207;10285.956
2020-06-12 12:00:00;9.8;102.19983;12.202;-1728.0001;-7084.8003;10.5;0.708249;7292.488
2020-06-13 12:00:00;8.400001;106.400085;12.422;0.0;259.2;10.400024;0.07792898;259.2
2020-06-14 12:00:00;5.6;81.19983;12.936;-172.8;2678.4001;10.400024;0.6910033;2683.9685
2020-06-15 12:00:00;4.2000003;79.79974;13.441;-172.8;4752.0005;10.400024;0.6157264;4755.141
2020-06-16 12:00:00;2.8;57.400085;14.280001;-2764.8;-691.2;10.400024;0.3443971;2849.8906
2020-06-17 12:00:00;2.8;58.799744;14.705;-2419.2002;-4492.8003;10.400024;0.7293199;5102.723
2020-06-18 12:00:00;2.8;106.400085;14.867001;-3283.2002;-2764.8;10.400024;0.5120864;4292.263
2020-06-19 12:00:00;2.8;77.0;14.764;-1987.2002;2592.0;10.400024;0.11989794;3266.1028
2020-06-20 12:00:00;1.4;15.400085;14.111;2419.2002;2678.4001;14.400024;0.7196089;3609.2046
2020-06-21 12:00:00;2.8;9.799744;13.887;-1641.6001;1209.6001;17.0;0.3245275;2039.1134
2020-06-22 12:00:00;2.8;8.400085;13.938;259.2;1382.4;17.900024;0.15849969;1406.4901
2020-06-23 12:00:00;2.8;9.799744;14.030001;-1987.2002;-4320.0;12.799927;0.72680855;4755.1406
2020-06-24 12:00:00;5.6;46.19983;14.331;-518.4;-10368.0;10.5;0.70678365;10380.952
2020-06-25 12:00:00;8.400001;85.400085;14.507;-432.00003;-8812.801;10.400024;0.18909344;8823.383
2020-06-26 12:00:00;8.400001;102.19983;14.559;518.4;-3196.8;10.400024;0.17620526;3238.5598
2020-06-27 12:00:00;5.6;58.799744;14.317;-5011.2;2246.4001;10.900024;0.4048764;5491.6704
2020-06-28 12:00:00;4.2000003;12.599915;13.503;-1468.8;1641.6001;18.0;0.40836868;2202.7766
2020-06-29 12:00:00;5.6;18.19983;13.324;-518.4;-4320.0;16.199951;0.55306834;4350.9927
2020-06-30 12:00:00;7.0;50.400085;13.501;-2246.4001;-10454.4;10.400024;0.48365757;10693.025
2020-07-01 12:00:00;9.8;105.0;13.92;-7084.8003;-9936.0;10.400024;0.47942677;12203.217
2020-07-02 12:00:00;9.8;98.0;13.857;-4060.8003;-3542.4001;10.400024;0.16772474;5388.757
2020-07-03 12:00:00;5.6;37.799744;12.99;691.2;5184.0;11.5;0.27912846;5229.877
2020-07-04 12:00:00;5.6;33.599915;12.792;-172.8;-864.00006;13.199951;0.6334451;881.11066
2020-07-05 12:00:00;7.0;43.400085;12.5;-2592.0;-1555.2001;16.799927;0.6862103;3022.7654
2020-07-06 12:00:00;8.400001;56.0;12.693;-3888.0002;-9244.801;12.5;0.15541233;10029.103
2020-07-07 12:00:00;12.6;84.0;12.995;-4060.8003;-3542.4001;10.400024;0.16915634;5388.757
2020-07-08 12:00:00;12.6;96.599915;13.076;-2592.0;-950.4001;10.400024;0.6115246;2760.747
2020-07-09 12:00:00;11.2;102.19983;13.232;-2160.0;-9849.601;10.400024;0.48702198;10083.662
2020-07-10 12:00:00;11.2;147.0;13.306;-6048.0;-12441.601;10.400024;0.6584045;13833.717
2020-07-11 12:00:00;8.400001;158.19983;13.301001;-2160.0;-4060.8003;10.400024;0.13227665;4599.5327
2020-07-12 12:00:00;5.6;142.79974;13.731;-864.00006;5356.8003;10.400024;0.597417;5426.0303
2020-07-13 12:00:00;4.2000003;99.400085;13.517;-1209.6001;777.60004;10.400024;0.22189924;1437.9827
2020-07-14 12:00:00;4.2000003;92.400085;13.653;-4233.6;-5875.2;10.400024;0.5313732;7241.6396
2020-07-15 12:00:00;4.2000003;98.0;13.31;-4233.6;-4838.4004;11.699951;0.6584866;6429.1123
2020-07-16 12:00:00;4.2000003;116.19983;13.747;-3456.0002;-4147.2;10.799927;0.2112223;5398.445
2020-07-17 12:00:00;4.2000003;102.19983;13.661;518.4;4147.2;10.400024;0.64409524;4179.4746
2020-07-18 12:00:00;4.2000003;77.0;13.033;2246.4001;-4838.4004;10.400024;0.5617513;5334.457
2020-07-19 12:00:00;2.8;70.0;12.912001;1382.4;-9158.4;10.400024;0.6518793;9262.145
2020-07-20 12:00:00;2.8;72.79974;13.58;432.00003;-4060.8003;10.400024;0.65441316;4083.7144
2020-07-21 12:00:00;2.8;71.400085;14.068001;1814.4001;-1641.6001;10.400024;0.63451844;2446.814
2020-07-22 12:00:00;4.2000003;100.79974;14.652;-1555.2001;4665.6;10.400024;0.5868586;4917.9746
2020-07-23 12:00:00;2.8;61.599915;14.745001;2937.6;-2851.2;10.400024;0.059136935;4093.7556
2020-07-24 12:00:00;2.8;42.0;15.209;-1123.2001;-86.4;10.400024;0.43026772;1126.5183
2020-07-25 12:00:00;2.8;35.0;15.042;-2505.6;-1555.2001;10.400024;0.4438488;2949.0132
2020-07-26 12:00:00;2.8;25.19983;14.876;518.4;-1641.6001;10.400024;0.59206986;1721.5079
2020-07-27 12:00:00;2.8;22.400085;14.644;-1814.4001;-5097.6006;10.400024;0.62603813;5410.876
2020-07-28 12:00:00;2.8;40.599915;14.790001;-4147.2;-10713.601;10.400024;0.17665741;11488.277
2020-07-29 12:00:00;2.8;65.79974;14.778;950.4001;-4579.2;10.400024;0.23979773;4676.7866
2020-07-30 12:00:00;4.2000003;42.0;14.684;2937.6;1036.8;11.599976;0.31154013;3115.1963
2020-07-31 12:00:00;2.8;21.0;14.691;-5875.2;-4406.4004;12.799927;0.31011212;7344.0005
2020-08-01 12:00:00;2.8;43.400085;14.851;-3974.4004;-5616.0005;10.5;0.5856237;6880.067
2020-08-02 12:00:00;5.6;96.599915;15.174;-3715.2002;-6652.801;10.400024;0.6114172;7619.8735
2020-08-03 12:00:00;5.6;123.19983;15.363001;-1382.4;-5011.2;10.400024;0.3722842;5198.3804
2020-08-04 12:00:00;4.2000003;65.79974;15.056;432.00003;6220.8003;10.400024;0.38435677;6235.782
2020-08-05 12:00:00;2.8;21.0;14.848;2073.6;-4492.8003;11.5;0.37510088;4948.2393
2020-08-06 12:00:00;2.8;19.599915;14.949;950.4001;-5788.8003;10.400024;0.624803;5866.2993
2020-08-07 12:00:00;5.6;51.799744;15.289;-2678.4001;-9331.2;10.400024;0.621772;9707.992
2020-08-08 12:00:00;8.400001;96.599915;15.534;-86.4;-6307.2007;10.400024;0.61650467;6307.7925
2020-08-09 12:00:00;9.8;112.0;15.557;-1296.0;-3456.0002;10.400024;0.5766676;3691.01
2020-08-10 12:00:00;8.400001;102.19983;15.647;-345.6;-518.4;10.400024;0.6092261;623.0393
2020-08-11 12:00:00;8.400001;91.0;15.84;-864.00006;-864.00006;10.400024;0.60521644;1221.8806
2020-08-12 12:00:00;5.6;60.19983;15.857;-172.8;-172.8;10.400024;0.17462485;244.37611
2020-08-13 12:00:00;4.2000003;60.19983;15.832001;-1036.8;-1296.0;10.400024;0.19575332;1659.69
2020-08-14 12:00:00;5.6;82.599915;16.137001;-86.4;-172.8;10.400024;0.058678616;193.19627
2020-08-15 12:00:00;7.0;68.599915;16.243;2160.0;518.4;10.400024;0.2346902;2221.3372
2020-08-16 12:00:00;7.0;70.0;16.098;1209.6001;864.00006;10.400024;0.42007947;1486.4819
2020-08-17 12:00:00;7.0;67.19983;16.373001;1728.0001;950.4001;10.400024;0.5770724;1972.1168
2020-08-18 12:00:00;5.6;70.0;16.92;777.60004;2678.4001;10.400024;0.156205;2788.9944
2020-08-19 12:00:00;2.8;35.0;17.011;1036.8;4233.6;10.5;0.5202995;4358.7065
2020-08-20 12:00:00;2.8;15.400085;15.384001;1641.6001;3628.8003;21.0;0.159866;3982.8435
2020-08-21 12:00:00;2.8;9.799744;15.057;-2505.6;2592.0;21.5;0.39721712;3605.0654
2020-08-22 12:00:00;2.8;9.799744;15.241;-3542.4001;604.80005;18.699951;0.40395567;3593.6587
2020-08-23 12:00:00;1.4;9.799744;15.453;-2419.2002;-2246.4001;13.0;0.23347762;3301.3396
2020-08-24 12:00:00;2.8;23.799744;15.755;-345.6;-3888.0002;10.599976;0.37397054;3903.33
