"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"608",608,11.8972471215806,110.450576630431,228344.722192929,190311.93081138,3.28615621894799,0,0,-85.4535425784088,386627154.263583,-182661854.931789,33993849.6,42.492312,21.9984449329792,19031.193081138,11418.7158486828,0.857126987349276,0.864240077854648,0.0174480079961903,0.00155098168457393,0.0119541121600167,0.0254568205722111
"609",609,9.18583071955344,89.369421321926,228566.602032064,190541.130560667,5.34258537300121,0,0,542.1177476819,1078507947.65003,132135260.201123,57169274.4,71.461593,21.995656862091,19054.1130560667,11432.46783364,0.857098525656395,0.896935707746339,0.0525210928378525,0.00484514816347903,0.0326395646415492,0.0708011710471596
"610",610,6.81488859180726,64.5826578684424,228843.373372364,190720.821727573,5.20118599752961,0,0,-182.18381901366,278968163.922674,-240372830.660742,61256184,76.57023,21.9988667886113,19072.0821727573,11443.2493036544,0.857131292825282,0.862634407395998,0.0117750267224508,0.00104476177606925,0.00823503887707224,0.0183195358848441
"611",611,6.23683848880568,54.6492797795927,228867.962427832,190773.627932287,4.55443095617202,0,0,275.682636176195,776287539.011281,-19079907.2958401,82173820.8,102.717276,21.9968344109421,19077.3627932287,11446.4176759372,0.85711054790814,0.830247252479211,0.0403434873139399,0.00344507728434061,0.0227346832307736,0.0508971348994642
"612",612,4.80150706152554,39.3724456507695,229280.508044013,191132.779833609,6.40650121793207,0,0,442.223817484998,999844091.734689,67958083.533546,21781152,27.22644,21.9958757594387,19113.2779833609,11467.9667900165,0.857100760654351,0.839427169462137,0.0499636019695448,0.00431369950183311,0.028444577659253,0.065414486539826
"613",613,4.36591290018435,23.7231728017739,229709.762315531,191477.671939421,8.52364162778258,0,0,247.325445107106,779799825.038407,-23731667.5223515,39916692,49.895865,21.9966866104475,19147.7671939421,11488.6603163653,0.857109039041629,0.838289507720758,0.0381772445420895,0.00329166728737622,0.0224658420349386,0.0509295085275818
"614",614,5.24126385433399,22.6356927357337,229905.479364071,191623.942099547,6.91483544875131,0,0,46.3201491754797,529445977.027707,-125840758.943296,60408684,75.510855,21.9977429148513,19162.3942099547,11497.4365259728,0.857119821948005,0.819119960267237,0.0266079791466817,0.00224172422646131,0.0157953835983202,0.0345641359014518
"615",615,6.25512762390162,31.8920820977992,229883.462432612,191592.118990954,5.46400274960866,0,0,-108.63768024476,339263884.909084,-212098417.617399,70686912,88.35864,21.9985865620843,19159.2118990954,11495.5271394573,0.857128432850708,0.79448864094241,0.0175357167555729,0.00143297417024815,0.0101551562444607,0.0221671627797382
"616",616,7.74074017814896,51.9339418307398,229748.894536971,191478.076260477,5.18404531809424,0,0,-119.591441842039,317746663.925366,-220993473.704118,54521443.2,68.151804,21.998704970507,19147.8076260477,11488.6845756286,0.857129641333704,0.813766990989302,0.0164327669585187,0.00137543010574562,0.00955724441313296,0.0207834448567971
"617",617,6.88921895800219,53.1919703849045,229839.585352248,191587.344364996,5.596127715894,0,0,327.444678750324,837638365.480489,12092831.6194642,50959408.8,63.699261,21.9965953969473,19158.7344364996,11495.2406618998,0.85710810784484,0.789539258387909,0.0456751143550661,0.00370911434591684,0.0247754308969553,0.0546871653876234
"618",618,6.10784788355364,49.9434717584631,230114.613380178,191801.361581828,4.89776904486397,0,0,102.361538159797,602312284.791652,-98718428.6547228,82692732,103.365915,21.9975484784035,19180.1361581828,11508.0816949097,0.857117837235159,0.763648970570183,0.0322579746223262,0.00253368514861208,0.0175551508227659,0.0392854948767637
"619",619,7.77690659891936,69.8876722874453,230150.845227211,191816.668126593,4.69412026402517,0,0,-79.9823943523225,377315923.815815,-195764292.087402,57014316,71.267895,21.9984799796084,19181.6668126593,11509.0000875956,0.857127345046505,0.840136759053166,0.0183194194172853,0.00158302688117001,0.0112236360277928,0.0246288604657587
"620",620,7.61880318955882,71.8368136039485,230256.522091367,191933.563534181,4.73711535708673,0,0,317.227283113874,826420580.305464,7533763.56836516,70033024.8,87.541281,21.9966783219945,19193.3563534181,11516.0138120508,0.857108954425481,0.898604872322486,0.039522056109249,0.00365279733920733,0.0244689918330155,0.0538617418790686
"621",621,6.99751415315391,47.2997339012809,230459.430056347,192078.725394803,5.53579121692684,0,0,-28.1268299076404,447692089.476607,-164224791.596018,39858878.4,49.823598,21.9981757262631,19207.8725394803,11524.7235236882,0.857124239678771,0.897890991823368,0.0200705580864027,0.00185356613622967,0.0133014053377804,0.0291711048222228
"622",622,9.25494789211573,30.1601132271481,230311.762248721,191937.480297895,7.83527169514523,0,0,-254.634534997622,164490787.009682,-288881582.666257,29255792.4,36.5697405,21.9993115409908,19193.7480297895,11516.2488178737,0.857135831705446,0.897413720302912,0.00729482685902452,0.000673346474058015,0.00517770569826607,0.0107607424162679
"623",623,7.97268781524964,24.6197464894286,230040.133906606,191715.373095324,6.55202545715805,0,0,-190.62392810664,225200200.905895,-259465586.137773,75659868,94.574835,21.9990447397364,19171.5373095324,11502.9223857195,0.857133108923998,0.871375667723316,0.0112209726200549,0.00100569304887273,0.00707330960036058,0.0147248243766831
"624",624,5.68962758919234,26.4381155723115,229962.72361035,191673.88170544,4.83394901178689,0,0,100.247871946231,568930861.171594,-107419103.602496,82988628,103.735785,21.9976035109338,19167.3881705439,11500.4329023264,0.857118398986101,0.835002967704894,0.029377129082238,0.00252301268724912,0.0169854127731477,0.0371324738086741
"625",625,5.52522861643638,32.0704806049025,229962.180468491,191656.1005054,4.65463277254258,0,0,-133.632766893466,315082855.822006,-225953985.967069,57347408.4,71.6842605,21.9986882683138,19165.61005054,11499.366030324,0.857129470871422,0.805491827553553,0.0157242996526877,0.00130274712601856,0.00925589211227633,0.020578843647507
"626",626,4.97775442508637,36.3942528956621,230003.183940125,191719.479540581,4.70246798231763,0,0,255.63552865656,760349311.699049,-33834686.2901716,70429916.4,88.0373955,21.9968604385576,19171.9479540581,11503.1687724349,0.857110813615707,0.804126781161967,0.0403034749496667,0.0033333831766555,0.0217862828740283,0.0496003023451269
"627",627,4.11943493332419,37.105227231238,230274.838086265,191942.734298465,4.88026684007089,0,0,191.219528591042,713755034.073127,-65715156.710831,55594948.8,69.493686,21.9970593796061,19194.2734298465,11516.5640579079,0.857112844508324,0.791554055066929,0.0368023572255751,0.00299623217982141,0.0197184756619199,0.0465037522439774
"628",628,4.72119593863571,42.9489272128805,230508.950493839,192137.623229725,6.27481299519336,0,0,197.977501401277,715580737.286432,-59773820.4773277,35665401.6,44.581752,21.9970751495264,19213.7623229724,11528.2573937835,0.857113005493317,0.763488746170228,0.0385902117614398,0.00303039424592325,0.0201134988869211,0.0465784902591348
"629",629,7.43415100124825,59.1068510446788,230638.812161418,192228.760839094,8.84211363720732,0,0,-12.7665246890441,459836904.368395,-159348376.036623,25832637.6,32.290797,21.9981427937558,19222.8760839094,11533.7256503456,0.857123903544394,0.723740403046502,0.0259750268158735,0.00193358681274687,0.0136417125822371,0.0299403451933177
"630",630,11.9159606135314,82.0809072907424,230575.137936354,192167.185981701,11.569526835458,0,0,-111.156232144723,330767177.90449,-212145286.925717,22674510,28.3431375,21.9986737984658,19216.7185981701,11530.031158902,0.857129323192088,0.740930080165678,0.0186535668233042,0.00142156496918622,0.0101960187862881,0.021577594859585
"631",631,11.3650107081246,95.7389171504699,230549.777379098,192161.146174776,9.19926084570562,0,0,100.051835962372,568502774.695744,-101558975.324004,55148824.8,68.936031,21.9977311734707,19216.1146174776,11529.6687704865,0.857119702099258,0.77115420349121,0.0317798178336973,0.00252066631550674,0.0173778241473032,0.0370400043718059
"632",632,9.38693968779915,77.732564219518,230709.385326701,192301.068482837,8.94678832447282,0,0,180.090411286273,673850106.514354,-56429829.135634,23821339.56,29.77667445,21.9973012707047,19230.1068482837,11538.0641089702,0.857115313779389,0.825152602612749,0.0345999590692979,0.00293650239547341,0.0203242484392337,0.0438505793943096
"633",633,8.0215601057934,44.9650687441943,230919.735033588,192476.701598694,8.7958654912984,0,0,170.804280427251,667083667.900888,-59474199.0338817,45387540,56.734425,21.9972824303196,19247.6701598694,11548.6020959216,0.857115121456163,0.850644150826507,0.0330019031012741,0.00288740236614908,0.0201361592646913,0.0433640401126011
"634",634,7.01036023528503,27.1242372907583,231125.82420996,192649.851172214,6.03723172274305,0,0,175.465984429697,669961005.678479,-54681623.126722,90960339.6,113.7004245,21.9971971327064,19264.9851172214,11558.9910703328,0.857114250729046,0.855321073859337,0.0330874744509422,0.00291080259528902,0.0204413501626967,0.0435065113220557
